,cpu_model_name,nb_cpu_cores,RAM_size,day,hour,cpu_freq_limit percent,current_cpu_frequency_limits,cpu_usage_percent,ram_usage_percent,energy_consumption
0,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:49:52,0,800,100,29.56,3.98
1,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:49:54,0,800,100,30.00,3.99
2,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:49:57,0,800,100,29.49,3.98
3,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:49:59,0,800,100,29.50,3.99
4,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:01,0,800,100,29.93,3.98
5,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:13,1,819,100,29.55,3.99
6,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:15,1,819,100,29.55,3.98
7,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:18,1,819,100,30.10,3.98
8,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:20,1,819,100,29.33,3.99
9,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:37,2,838,100,29.35,3.98
10,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:39,2,838,100,29.60,3.98
11,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:42,2,838,100,29.36,3.99
12,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:44,2,838,100,29.50,3.99
13,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:56,3,857,100,29.41,3.99
14,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:50:59,3,857,100,30.20,3.97
15,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:01,3,857,99,29.45,3.97
16,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:03,3,857,100,29.49,3.99
17,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:18,4,876,100,30.28,3.99
18,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:20,4,876,100,29.52,3.99
19,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:23,4,876,100,30.28,3.99
20,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:25,4,876,100,29.55,3.99
21,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:40,5,895,100,29.60,3.97
22,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:42,5,895,100,29.60,3.99
23,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:45,5,895,100,29.59,3.98
24,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:51:47,5,895,100,29.63,3.98
25,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:02,6,914,100,29.64,3.99
26,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:04,6,914,100,29.76,3.99
27,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:07,6,914,100,29.66,3.97
28,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:09,6,914,100,29.69,3.98
29,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:21,7,933,100,29.74,3.99
30,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:23,7,933,100,29.74,3.98
31,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:26,7,933,100,29.73,3.97
32,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:28,7,933,100,29.76,3.98
33,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:43,8,952,100,29.77,3.98
34,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:45,8,952,100,30.47,3.96
35,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:48,8,952,100,29.84,3.98
36,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:52:50,8,952,100,30.25,3.99
37,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:03,9,971,100,29.92,3.99
38,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:05,9,971,100,29.89,3.97
39,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:08,9,971,100,30.70,3.98
40,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:10,9,971,100,29.91,3.97
41,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:25,10,990,100,29.99,3.97
42,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:27,10,990,100,30.10,3.99
43,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:30,10,990,100,30.02,3.98
44,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4,3898112,2021-07-23,14:53:32,10,990,100,29.99,3.98
